accession	strain
KM816532	CVA10-10015-2011
KM816533	CVA10-10019-2011
KM816534	CVA10-10024-2011
KM816535	CVA10-10030-2011
KM816536	CVA10-10031-2011
KM816537	CVA10-10035-2011
KM816538	CVA10-10042-2011
KM816539	CVA10-10043-2011
KM816540	CVA10-10044-2011
KM816541	CVA10-10045-2011
KM816542	CVA10-10046-2011
KM816543	CVA10-10048-2011
KM816544	CVA10-10053-2011
KM816545	CVA10-10054-2011
KM816546	CVA10-10055-2011
KM816547	CVA10-10059-2011
KM816548	CVA10-10062-2011
KM816549	CVA10-10081-2011
KM816550	CVA10-10164-2012
KM816551	CVA10-10165-2012
KP009574	FY01/AH/CHN/2013
KP009575	FY02/AH/CHN/2013
KP009576	FY03/AH/CHN/2013
KP009577	FY04/AH/CHN/2013
KP009578	FY05/AH/CHN/2013
KP009579	FY06/AH/CHN/2013
KP009580	FY07/AH/CHN/2013
KP009581	FY08/AH/CHN/2013
KP717666	SHFD12-2/SH/CHN/2012
KP717667	SHFD12-4/SH/CHN/2012
KP717668	SHFD12-6/SH/CHN/2012
KP717669	SHFD12-13/SH/CHN/2012
KP717670	SHFD12-14/SH/CHN/2012
KP717671	SHFD12-42/SH/CHN/2012
KP717672	SHFD12-61/SH/CHN/2012
KP717673	SHFD12-66/SH/CHN/2012
KP717674	SHFD12-93/SH/CHN/2012
KP717675	SHFD12-122/SH/CHN/2012
KP717676	SHFD12-130/SH/CHN/2012
KP717677	SHFD12-132/SH/CHN/2012
KP717678	SHFD12-133/SH/CHN/2012
KP717679	SHFD12-141/SH/CHN/2012
KP717680	SHFD13-18/SH/CHN/2013
KP717681	SHFD13-32/SH/CHN/2013
KP717682	SHFD13-143/SH/CHN/2013
KP717683	SHFD13-193/SH/CHN/2013
KT588920	CV-CNIC/Guizhou/CHN/14
KX094564	A10/S0148b
KX094565	A10/S0273b
KX430803	CVA10/Homo sapiens/VNM/5.1/2014
KX430804	CVA10/Homo sapiens/VNM/5.2/2014
KX430805	CVA10/Homo sapiens/VNM/6.1/2014
KX430806	CVA10/Homo sapiens/VNM/6.2/2014
KX430807	CVA10/Homo sapiens/VNM/7.1/2014
KX430808	CVA10/Homo sapiens/VNM/7.2/2014
KX430809	CVA10/Homo sapiens/VNM/8.1/2014
KX430810	CVA10/Homo sapiens/VNM/8.2/2014
KY012321	CVA10-FJ-01
KY271944	USA/TN/2016-OB2038
KY762310	USA/AZ/2016-19521
LC012548	104-A7-YN-CHN-2012
LC012551	109-A14-YN-CHN-2012
LC012553	124-A36-YN-CHN-2012
LC012554	142-A66-YN-CHN-2012
LC012555	157-A91-YN-CHN-2012
LC013412	A15-YN-CHN-2014
LC013413	A21-YN-CHN-2014
LC013415	A38-YN-CHN-2014
LC013418	C7-YN-CHN-2014
LC013430	J34-YN-CHN-2014
LC013450	L24-YN-CHN-2014
LC013452	L28-YN-CHN-2014
LC013457	M17-YN-CHN-2014
LC013463	P13-YN-CHN-2014
LC013465	P129-YN-CHN-2014
LC013466	P130-YN-CHN-2014
LC013467	P131-YN-CHN-2014
LC013468	R3-YN-CHN-2014
LC013474	R223-YN-CHN-2014
LC038033	20114103-Sapporo-2011
LC120872	43-YN-CHN-2014JK
LC120873	271-YN-CHN-2014JK
LC120874	416-YN-CHN-2014JK
LC124091	20114103-Sapporo-2011Jun
LC124092	20114132-Sapporo-2011Jul
LC124093	20114133-Sapporo-2011Jul
LC124094	20114134-Sapporo-2011Jul
LC124095	20114137-Sapporo-2011Jul
LC124096	20114140-Sapporo-2011Jul
LC124097	20114141-Sapporo-2011Jul
LC124098	20114142-Sapporo-2011Jul
LC124099	20114143-Sapporo-2011Jul
LC124100	20114144-Sapporo-2011Jul
LC124101	20114145-Sapporo-2011Jul
LC124102	20114146-Sapporo-2011Jul
LC124103	20114152-Sapporo-2011Jul
LC124104	20114155-Sapporo-2011Jul
LC124105	20114157-Sapporo-2011Jul
LC124106	20114159-Sapporo-2011Jul
LC124107	20114163-Sapporo-2011Jul
LC124108	20114165-Sapporo-2011Jul
LC124109	20114166-Sapporo-2011Jul
LC124110	20114175-Sapporo-2011Jul
LC124111	20114185-Sapporo-2011Jul
LC124112	20114187-Sapporo-2011Jul
LC124113	20114206-Sapporo-2011Aug
LC124114	20114215-Sapporo-2011Aug
LC124115	20114216-Sapporo-2011Aug
LC124116	20114229-Sapporo-2011Aug
LC124117	20154076-Sapporo-2015Aug
LC124118	20154101-Sapporo-2015Aug
LC167415	83-YN-CHN-2016HC
LC167416	296-YN-CHN-2016HC
LC167417	473-YN-CHN-2016HC
LC361284	SF152
LC361285	SF165
LC361313	SF152
LC361314	SF165
LC411987	>A15-YN-CHN-2014
LC411988	>A21-YN-CHN-2014
LC411989	>A38-YN-CHN-2014
LC411990	>A047-YN-CHN-2014
LC411991	>A061-YN-CHN-2014
LC411992	>A082-YN-CHN-2014
LC411993	>A095-YN-CHN-2014
LC411994	>A101-YN-CHN-2014
LC411995	>A136-YN-CHN-2014
LC411996	>C7-YN-CHN-2014
LC411997	>G059-YN-CHN-2014
LC411998	>G094-YN-CHN-2014
LC411999	>G095-YN-CHN-2014
LC412000	>J34-YN-CHN-2014
LC412001	>J127-YN-CHN-2014
LC412002	>J221-CV-A10
LC412003	>L24-YN-CHN-2014
LC412004	>L28-YN-CHN-2014
LC412005	>M17-YN-CHN-2014
LC412006	>P13-YN-CHN-2014
LC412007	>P098-YN-CHN-2014
LC412008	>P129-YN-CHN-2014
LC412009	>P130-YN-CHN-2014
LC412010	>P131-YN-CHN-2014
LC412011	>R3-YN-CHN-2014
LC412012	>R223-YN-CHN-2014
LC412978	A119-YN-CHN-2017
LC412979	B41-YN-CHN-2017
LC412983	J47-YN-CHN-2017
LC412984	J55-YN-CHN-2017
LC412985	J60-YN-CHN-2017
LC412986	J65-YN-CHN-2017
LC412987	P38-YN-CHN-2017
LC430225	16-YN-CHN-2017
LC430226	57-YN-CHN-2017
LC430227	320-YN-CHN-2017
LC430228	328-YN-CHN-2017
LC430230	391-YN-CHN-2017
LC430231	396-YN-CHN-2017
LC430232	411-YN-CHN-2017
